Name,accuracy_max_disparity,acc,eo2_max_diff,eo_max_diff,max_diff_dp,method,seed,f1,f2,data
comfy-leaf-1592,0.092482815,0.77471637,0.042456313,0.036458333,0.149113956,fair-scale,8,0.1,,compas
warm-blaze-1591,0.092482815,0.77471637,0.042456313,0.036458333,0.149113956,fair-scale,8,0.01,,compas
fearless-pyramid-1545,0.095320679,0.763371151,0.157076052,0.012152778,0.231054634,c-fair,8,1,,compas
polar-wind-1549,0.019991171,0.742301459,0.017843958,0.020833333,0.124571693,c-fair,9,10,,compas
royal-frost-1550,0.054444935,0.708265802,0.059684962,0.102430556,0.15612453,c-fair,9,100,,compas
decent-wind-1548,0.105684135,0.781199352,0.146886537,0.041666667,0.222078577,c-fair,9,1,,compas
jolly-capybara-1595,0.118307372,0.771474878,0.015702683,0.006944444,0.081015745,fair-scale,9,0.01,,compas
cosmic-firebrand-1596,0.118307372,0.771474878,0.015702683,0.006944444,0.081015745,fair-scale,9,0.1,,compas
easy-star-1597,0.121376469,0.766612642,0.015702683,0.005208333,0.077946648,fair-scale,9,1,,compas
lively-haze-1598,0.121723319,0.776337115,0.015702683,0.03125,0.077599798,fair-scale,9,10,,compas
