"Name","accuracy_max_disparity","acc","ap_avg","eo2_max_diff","eo_max_diff","max_diff_dp","method","seed","f1","f2","data"
"wild-armadillo-1955","0.20645161290322575","0.7466666666666667","0.0349156000090171","0.3333333333333333","0.11616161616161612","0.20879120879120872","BFA(ap)","8","1.2","","german_ss"
"gallant-fog-1868","0.2034739454094293","0.7","0.03504128626780008","0.6666666666666667","0.2222222222222222","0.4","fair-scale(new)","1","10","","german_ss"
"dulcet-universe-1938","0.14640198511166258","0.7866666666666666","0.03544276989895602","0.12","0.06593406593406603","0.17866004962779158","BFA(ap)","3","0.8","","german_ss"
"fluent-wildflower-1772","0.08188585607940446","0.7266666666666667","0.03547807928491477","0.15999999999999998","0.06349206349206349","0.1389578163771712","c-fair(new)","5","100","","german_ss"
"super-river-1932","0.17204301075268824","0.7733333333333333","0.03559964227400139","0.5","0.1428571428571429","0.31794871794871793","BFA(ap)","1","0.8","","german_ss"
"still-jazz-1789","0.07311827956989247","0.76","0.03560073306299319","0.06666666666666671","0.0793650793650793","0.17419354838709675","c-fair(new)","9","10","","german_ss"
"neat-snowball-1762","0.04962779156327546","0.7066666666666667","0.035660061623316086","0.23333333333333336","0.10256410256410264","0.24301075268817207","c-fair(new)","3","100","","german_ss"
"classic-violet-1957","0.1017369727047146","0.8133333333333334","0.03785554340661421","0.10666666666666667","0.06593406593406603","0.22332506203473945","BFA(ap)","9","1","","german_ss"
"robust-spaceship-1863","0.2481389578163772","0.6266666666666667","0.040708689558765034","0.33333333333333337","0.5494505494505495","0.4615384615384616","fair-scale(new)","0","1","","german_ss"
"tough-galaxy-1961","0.2481389578163772","0.6266666666666667","0.040708689558765034","0.33333333333333337","0.5494505494505495","0.4615384615384616","fair-scale(new)","0","1","","german_ss"
"fine-energy-1936","0.17866004962779158","0.8","0.04226569510071127","0.16666666666666669","0.06593406593406603","0.17204301075268824","BFA(ap)","2","1","","german_ss"
"sage-dawn-1935","0.1376344086021506","0.8","0.042373832604072126","0.16666666666666669","0.06593406593406603","0.22332506203473945","BFA(ap)","2","0.8","","german_ss"
"skilled-lion-1756","0.09890109890109888","0.7666666666666667","0.04315057074330492","0.2733333333333333","0.08119658119658113","0.2034739454094293","c-fair(new)","2","10","","german_ss"
"atomic-frost-1934","0.0694789081885856","0.7866666666666666","0.0435860615967163","0.26666666666666666","0.1428571428571429","0.20879120879120872","BFA(ap)","1","1.2","","german_ss"
"still-pine-1866","0.2481389578163772","0.6533333333333333","0.04362440263829584","0.6666666666666667","0.1904761904761905","0.3897435897435898","fair-scale(new)","1","0.1","","german_ss"
"major-thunder-1867","0.2034739454094293","0.6666666666666666","0.044830418035576886","0.6666666666666667","0.4444444444444444","0.5333333333333333","fair-scale(new)","1","1","","german_ss"
"misunderstood-wildflower-1946","0.1017369727047146","0.8066666666666666","0.04488556076187227","0.26666666666666666","0.1428571428571429","0.23076923076923073","BFA(ap)","5","1.2","","german_ss"
"wobbly-hill-1933","0.1053763440860216","0.7733333333333333","0.045141387787059575","0.3333333333333333","0.1428571428571429","0.2512820512820513","BFA(ap)","1","1","","german_ss"
"dulcet-snowflake-1929","0.31794871794871793","0.8066666666666666","0.047464920084694315","0.5","0.1428571428571429","0.1904761904761905","BFA(ap)","0","0.8","","german_ss"
"charmed-sound-1959","0.2481389578163772","0.62","0.04773870691402299","0.33333333333333337","0.5494505494505495","0.45905707196029777","fair-scale(new)","0","0.01","","german_ss"
"distinctive-galaxy-1861","0.2481389578163772","0.62","0.04773870691402299","0.33333333333333337","0.5494505494505495","0.45905707196029777","fair-scale(new)","0","0.01","","german_ss"
"comic-wood-1773","0.16410256410256407","0.7866666666666666","0.04809275355145714","0.23333333333333336","0.1923076923076923","0.12655086848635233","c-fair(new)","6","1","","german_ss"
"trim-snowflake-1769","0.16410256410256407","0.7866666666666666","0.04809275355145714","0.23333333333333336","0.19696969696969704","0.12655086848635233","c-fair(new)","5","1","","german_ss"
"wandering-tree-1864","0.3126550868486352","0.6933333333333334","0.04908592452973407","0.33333333333333337","0.746031746031746","0.5794871794871794","fair-scale(new)","0","10","","german_ss"
"smart-glitter-1930","0.17866004962779158","0.8133333333333334","0.049599257931711584","0.26666666666666666","0.1428571428571429","0.1648351648351648","BFA(ap)","0","1","","german_ss"
"glamorous-dawn-1767","0.1910669975186103","0.7466666666666667","0.05000277447872532","0.23333333333333336","0.2362637362637363","0.2481389578163772","c-fair(new)","4","100","","german_ss"
"upbeat-meadow-1953","0.20645161290322575","0.7666666666666667","0.05002992868853497","0.3333333333333333","0.13131313131313127","0.19780219780219777","BFA(ap)","8","0.8","","german_ss"
"gallant-mountain-1945","0.1017369727047146","0.82","0.05073764208931531","0.2266666666666667","0.1428571428571429","0.22332506203473945","BFA(ap)","5","1","","german_ss"
"light-gorge-1956","0.17866004962779158","0.7933333333333333","0.050777193959526505","0.16666666666666669","0.06593406593406603","0.17204301075268824","BFA(ap)","9","0.8","","german_ss"
"sparkling-disco-1931","0.09743589743589742","0.8","0.0509196244277167","0.3066666666666667","0.1428571428571429","0.24175824175824168","BFA(ap)","0","1.2","","german_ss"
"solar-sun-1778","0.10842490842490848","0.78","0.051101606766118045","0.23333333333333336","0.07070707070707061","0.17419354838709675","c-fair(new)","7","1","","german_ss"
"swept-bush-1943","0.1017369727047146","0.8","0.05191557811713023","0.2266666666666667","0.06593406593406603","0.22332506203473945","BFA(ap)","4","1.2","","german_ss"
"gentle-hill-1751","0.1053763440860216","0.7666666666666667","0.052658023143279234","0.15999999999999998","0.0793650793650793","0.14193548387096777","c-fair(new)","1","10","","german_ss"
"still-pyramid-1952","0.17204301075268824","0.78","0.05349601408524728","0.19999999999999996","0.16161616161616166","0.17948717948717952","BFA(ap)","7","1.2","","german_ss"
"worthy-monkey-1862","0.2481389578163772","0.6133333333333333","0.05476872426928102","0.33333333333333337","0.5494505494505495","0.45905707196029777","fair-scale(new)","0","0.1","","german_ss"
"fragrant-lake-1960","0.2481389578163772","0.6133333333333333","0.05476872426928102","0.33333333333333337","0.5494505494505495","0.45905707196029777","fair-scale(new)","0","0.1","","german_ss"
"desert-field-1770","0.12473118279569896","0.7666666666666667","0.05503977090493126","0.23333333333333336","0.11965811965811957","0.1712158808933003","c-fair(new)","5","10","","german_ss"
"dark-water-1785","0.09890109890109888","0.7733333333333333","0.05872637932003374","0.31333333333333335","0.0793650793650793","0.24086021505376343","c-fair(new)","8","10","","german_ss"
"lemon-donkey-1944","0.1017369727047146","0.8133333333333334","0.059249140948130614","0.2266666666666667","0.1428571428571429","0.22332506203473945","BFA(ap)","5","0.8","","german_ss"
"efficient-waterfall-1788","0.11941391941391943","0.7733333333333333","0.0596131056249333","0.23333333333333336","0.101010101010101","0.17419354838709675","c-fair(new)","9","1","","german_ss"
"logical-darkness-1791","0.25558312655086846","0.7733333333333333","0.06289532894453301","0.5","0.27472527472527475","0.2481389578163772","c-fair(new)","9","100","","german_ss"
"glad-universe-1942","0.1376344086021506","0.78","0.06346388466984608","0.2266666666666667","0.06593406593406603","0.22332506203473945","BFA(ap)","4","1","","german_ss"
"lunar-plant-1781","0.27311827956989243","0.7533333333333333","0.06431027011748736","0.3","0.3015873015873015","0.17634408602150542","c-fair(new)","7","100","","german_ss"
"balmy-bee-1899","0.30024813895781644","0.7266666666666667","0.0668833417281657","0.5","0.11111111111111116","0.2666666666666667","fair-scale(new)","9","1","","german_ss"
"dauntless-shadow-1900","0.30024813895781644","0.7266666666666667","0.0668833417281657","0.5","0.11111111111111116","0.2666666666666667","fair-scale(new)","9","10","","german_ss"
"firm-jazz-1947","0.1743589743589744","0.76","0.06698622032614474","0.2266666666666667","0.15384615384615383","0.08188585607940446","BFA(ap)","6","0.8","","german_ss"
"royal-durian-1882","0.11414392059553348","0.72","0.0693420923817745","0.2733333333333333","0.2362637362637363","0.3250620347394541","fair-scale(new)","5","0.1","","german_ss"
"fine-night-1881","0.11414392059553348","0.72","0.0693420923817745","0.2733333333333333","0.2362637362637363","0.3250620347394541","fair-scale(new)","5","0.01","","german_ss"
"driven-wood-1941","0.1376344086021506","0.7733333333333333","0.07049390202510404","0.2266666666666667","0.06593406593406603","0.22332506203473945","BFA(ap)","4","0.8","","german_ss"
"ruby-sun-1951","0.2387096774193549","0.7733333333333333","0.07154925827153845","0.2666666666666666","0.16161616161616166","0.15384615384615383","BFA(ap)","7","1","","german_ss"
"wobbly-field-1898","0.30024813895781644","0.72","0.07539484058698093","0.5","0.11111111111111116","0.2666666666666667","fair-scale(new)","9","0.1","","german_ss"
"lyric-smoke-1897","0.30024813895781644","0.72","0.07539484058698093","0.5","0.11111111111111116","0.2666666666666667","fair-scale(new)","9","0.01","","german_ss"
"faithful-capybara-1949","0.11941391941391943","0.78","0.0764541210041625","0.3533333333333334","0.04040404040404033","0.20645161290322575","BFA(ap)","6","1.2","","german_ss"
"distinctive-bush-1937","0.1339950372208436","0.8","0.07726809235517464","0.1866666666666667","0.10439560439560448","0.25558312655086846","BFA(ap)","2","1.2","","german_ss"
