"Name","acc","accuracy_max_disparity","eo2_max_diff","eo_max_diff","max_diff_dp","method","coeff","seed","f1","f2"
"restful-sunset-717","0.8240149609853614","0.0876733958729049","0.00026396372941046853","0.01436017905880882","0.07697888363152121","VAE-BFC","","1","0.5","3.5"
"swept-pyramid-1059","0.8207906106919456","0.08783834843815563","0.016058354993438204","0.1331201020552013","0.1056084397751014","VAE-BFC","","5","3","1"
"colorful-vortex-995","0.8150512671696654","0.0879806078250509","0.022282436859250312","0.09620424444254431","0.04057555306128724","VAE-BFC","","6","1","3.5"
"wild-armadillo-718","0.8177597214161346","0.08800504663251063","0.008488166388105123","0.04025125546848102","0.06245508055214885","VAE-BFC","","1","0.5","4"
"whole-flower-715","0.824143934997098","0.08806265239295152","0.010773666381608302","0.08501942422932834","0.059114978807874974","VAE-BFC","","1","0.5","2.5"
"copper-fog-971","0.807054878441994","0.08829654792271824","0.01765362713114016","0.023688084546818033","0.0478274219261752","VAE-BFC","","5","1","3.5"
"mild-glade-1009","0.820274714644999","0.08831880938634906","0.01038355590183919","0.07042814190664815","0.09400100105259555","VAE-BFC","","7","0.5","2.5"
"resilient-galaxy-921","0.8138260140581672","0.08835764494136777","0.00754606612231265","0.004475892463029263","0.06425910376548716","VAE-BFC","","4","1.5","3"
"proud-donkey-647","0.8307216095956664","0.08841307335797965","0.01865341682640042","0.05823166715583522","0.10749231144230596","VAE-BFC","","4","1.5","0.5"
"peach-brook-977","0.813374605017089","0.08845059499861874","0.004720186415661298","0.027319294580397335","0.06962971002172426","VAE-BFC","","5","1.5","2.5"
"stellar-morning-1108","0.8141484490875088","0.08845757751503569","0.015679253028364183","0.16311326139859073","0.10420720639991927","VAE-BFC","","8","3","1.5"
"dutiful-frost-620","0.826981363255304","0.08847634772045809","0.014209766706112847","0.1043448569124142","0.10347276580215732","VAE-BFC","","2","4","0.5"
"VAE_BFC(121)","0.8201457406332624","0.08851169201726805","0.0036151240388904993","0.08230164984620081","0.07714952356901492","VAE-BFC","","1","",""
"cerulean-butterfly-625","0.8264009802024892","0.08876218040862816","0.024834246659066177","0.17044327917043173","0.12065459890116964","VAE-BFC","","2","5","0.5"
"silvery-snowball-992","0.8198877926097892","0.08889745727910625","0.017401032851332834","0.10589960412010896","0.04741241268428917","VAE-BFC","","6","1","2"
"volcanic-bird-560","0.8198877926097892","0.08889745727910625","0.017401032851332834","0.10589960412010896","0.04741241268428917","VAE-BFC","","6","1","2"
"major-haze-551","0.8198877926097892","0.08889745727910625","0.017401032851332834","0.10589960412010896","0.04741241268428917","VAE-BFC","","6","",""
"rural-breeze-919","0.817824208422003","0.08907288361898269","0.01014197013672695","0.05226400312451612","0.059072651994647785","VAE-BFC","","4","1.5","2"
"ruby-lion-623","0.8173727993809248","0.08916583367623376","0.004465486682223761","0.0738860244923239","0.07413191272410077","VAE-BFC","","0","5","0.5"
"fine-dew-969","0.8173083123750564","0.08926227499169326","0.0025842337857211184","0.004601265983679492","0.07130455668134661","VAE-BFC","","5","1","2.5"
"fanciful-jazz-993","0.8175017733926614","0.08926402062079752","0.020766450089680297","0.1165003108338899","0.041413849205650555","VAE-BFC","","6","1","2.5"
"VAE_BFC(s=9)","0.8195008705745792","0.08947610517186355","0.003937258444312794","0.05770070740709071","0.0743933066048111","VAE-BFC","","9","",""
"smooth-cloud-970","0.8122783259173276","0.08979902778594806","0.0054788114365353635","0.0010076102304792944","0.06571096038469312","VAE-BFC","","5","1","3"
"clean-breeze-978","0.8064100083833108","0.08984310022827946","0.01022197737467498","0.023588132385193698","0.05911236974932128","VAE-BFC","","5","1.5","3"
"super-puddle-966","0.828400077384407","0.08984747368614288","0.017216595113326336","0.013011691514119184","0.10111365130386668","VAE-BFC","","5","1","1"
"feasible-cosmos-1000","0.819436383568711","0.08986361606280602","0.012197494437993062","0.06331305017020761","0.05599176678725522","VAE-BFC","","6","1.5","2"
"silver-dawn-730","0.8252402140968594","0.08991598493593411","0.006881163865891993","0.038054041187223664","0.08859155924133982","VAE-BFC","","1","1.5","2"
"magic-shape-1056","0.8195653575804476","0.08996180300736978","0.014668454818408838","0.1126281756477247","0.1009530721964793","VAE-BFC","","5","2","1.5"
"frosty-hill-907","0.822080350809312","0.08998449618572535","0.0009072700471669664","0.02476675903093778","0.075804131554964","VAE-BFC","","4","0.5","4"
"solar-serenity-852","0.8132456310053524","0.09009882550695224","0.02110019456797776","0.1742911485138905","0.11048811130851945","VAE-BFC","","3","1","4"
"hopeful-capybara-562","0.814599858128587","0.09011104491068224","0.01979000085180639","0.09421328982429215","0.0425200900324165","VAE-BFC","","6","1","4"
"celestial-smoke-996","0.814599858128587","0.09011104491068224","0.01979000085180639","0.09421328982429215","0.0425200900324165","VAE-BFC","","6","1","4"
"fine-terrain-801","0.8163410072870316","0.09012675557262062","0.005879689807727573","0.011645871224639335","0.06742028791167613","VAE-BFC","","2","2","2"
"sunny-darkness-846","0.8213709937447604","0.09017214192933154","0.00059686602625586","0.034273191790287705","0.07442776870196632","VAE-BFC","","3","1","1"
"wise-surf-986","0.8236925259560198","0.09019308947858284","0.012404430451933818","0.0990884131756593","0.05486981529855081","VAE-BFC","","6","0.5","3"
"snowy-gorge-807","0.8262075191848842","0.0902157826569384","0.01565621335006788","0.07640447231036246","0.10224913611068054","VAE-BFC","","2","3","1"
"peachy-field-1011","0.8189849745276326","0.09024763569553984","0.009705780300365216","0.05597436602597139","0.09070454003592844","VAE-BFC","","7","0.5","3.5"
"skilled-yogurt-968","0.8197588185980524","0.09025461821195702","0.008775109639993894","0.06266884982216603","0.06022296526374522","VAE-BFC","","5","1","2"
"eager-dragon-941","0.816212033275295","0.09031963820353972","0.004457846893336996","0.08153380925198805","0.08471252735898217","VAE-BFC","","4","4","1"
"dulcet-hill-927","0.815373702199007","0.09040909700258216","0.00642006952087576","0.00788062129801459","0.06495688615205947","VAE-BFC","","4","2","2"
"playful-firefly-1010","0.818662539498291","0.09043877269735467","0.008005897195150768","0.047366347204921555","0.08779908116841224","VAE-BFC","","7","0.5","3"
"fast-river-1028","0.8002837428258206","0.09056400750793205","0.004709177900966199","0.125463650923142","0.08163513340979815","VAE-BFC","","7","1.5","4"
"zany-river-878","0.8055716773070226","0.0908057677537707","0.015082326846290336","0.20562932885301136","0.10169406359593364","VAE-BFC","","3","4","1"
"vocal-vortex-1073","0.8172438253691882","0.09081406418456728","0.015344666368614632","0.07751087918614674","0.049798575048593224","VAE-BFC","","6","2","2"
"soft-breeze-785","0.8201457406332624","0.09084024862113138","0.010142692006543032","0.06387463110141506","0.09189674840352832","VAE-BFC","","2","1","2"
"peachy-gorge-724","0.8182756174630812","0.09101742059011196","0.005397962017135258","0.028369081156533194","0.06569524972275469","VAE-BFC","","1","1","3"
"tough-serenity-864","0.8118269168762494","0.09105625614513067","0.016047045699653067","0.16908439197886793","0.10279375362100723","VAE-BFC","","3","2","2"
"worldly-flower-988","0.8183401044689496","0.09121204885013534","0.017205827221903267","0.11444406954359417","0.045287212485970674","VAE-BFC","","6","0.5","4"
"vital-universe-843","0.8205971496743406","0.09132943771484614","0.015276269203541776","0.06574021219901688","0.098340860248275","VAE-BFC","","3","0.5","3.5"
"royal-meadow-1102","0.8316889146836912","0.0916235668338129","0.052181081524608305","0.24271735839725267","0.16000571515214698","VAE-BFC","","7","4","0"
"comfy-aardvark-712","0.8309795576191398","0.09181121257741907","0.01992769751922219","0.015581559808369172","0.1046204512424956","VAE-BFC","","1","0.5","1"
"ruby-oath-994","0.8178886954278712","0.09188713805835214","0.01675760622194032","0.1040392228459442","0.04599372301806434","VAE-BFC","","6","1","3"
"wild-blaze-561","0.8178886954278712","0.09188713805835214","0.01675760622194032","0.1040392228459442","0.04599372301806434","VAE-BFC","","6","1","3"
"graceful-spaceship-909","0.8313019926484814","0.09191114515108724","0.012715135251934968","0.009022849179698976","0.09409089156636274","VAE-BFC","","4","1","1"
"amber-smoke-1031","0.827174824272909","0.09197092825535712","0.0014346561036258645","0.10164961509751402","0.07237674835547658","VAE-BFC","","8","0.5","1.5"
"confused-oath-906","0.8226607338621268","0.0920272201014184","0.005443921062091878","0.026049959903583775","0.0805297560124816","VAE-BFC","","4","0.5","3.5"
"neat-snow-815","0.8220158638034436","0.09211842452956508","0.01958547107058587","0.15065390668512407","0.10936572810509032","VAE-BFC","","2","4","1"
"earnest-snowball-1001","0.820468175662604","0.09239552907221392","0.005455350667513029","0.05020776183422038","0.0643206324988613","VAE-BFC","","6","1.5","2.5"
"super-feather-505","0.8214354807506288","0.09240425721773517","0.0036503151924240224","0.01916134936573705","0.07144769826789671","VAE-BFC","","4","",""
"fragrant-sea-1032","0.8267234152318308","0.09264601746357393","0.002480224376388701","0.08469299086911009","0.07425451970591893","VAE-BFC","","8","0.5","2"
"vocal-waterfall-1076","0.8187270265041594","0.0926708879857584","0.002376455590328286","0.001369864596597714","0.07070103826640486","VAE-BFC","","6","3","1.5"
"deep-spaceship-972","0.8046688592248662","0.09273808532117012","0.01409300426336313","0.020735162592701303","0.049207276037381384","VAE-BFC","","5","1","4"
"whole-pine-1063","0.8200167666215258","0.09277954870494776","0.0275910073308286","0.200821225448167","0.12150119147632958","VAE-BFC","","5","4","1"
"volcanic-paper-858","0.8106661507706198","0.09279219982340248","0.018447322993911754","0.16760706436457","0.1043333234101514","VAE-BFC","","3","1.5","3"
"vibrant-glitter-905","0.8248532920616496","0.09282318943255465","0.007327700502950757","0.03009542253765246","0.08304072147263823","VAE-BFC","","4","0.5","3"
"dainty-thunder-533","0.8370413361707616","0.09293316406612352","0.0696754762054865","0.35712098486966937","0.19063959137112635","VAE-BFC","","5","",""
"pleasant-dream-540","0.8370413361707616","0.09293316406612352","0.0696754762054865","0.35712098486966937","0.19063959137112635","VAE-BFC","","5","",""
"jumping-bush-796","0.8140839620816406","0.09321113203822172","0.003504016243033356","0.04890202839334701","0.07906132530188778","VAE-BFC","","2","1.5","3.5"
"warm-morning-985","0.8249822660733862","0.09321244595260124","0.010003732066949086","0.10891607947179038","0.05613228054504621","VAE-BFC","","6","0.5","2.5"
"logical-bee-797","0.8076352614948088","0.09324996759324032","0.002135591695032135","0.05165909033133276","0.06970477207320787","VAE-BFC","","2","1.5","4"
"trim-waterfall-1002","0.8171793383633198","0.09353013167937284","0.0110488792489859","0.06883930696753227","0.05426804251271333","VAE-BFC","","6","1.5","3"
"swept-star-1057","0.8179531824337396","0.09353711419579004","0.0063181655651735336","0.04440822542736772","0.08359581275759055","VAE-BFC","","5","2","2"
"dainty-paper-693","0.8073773134713356","0.09363573285507854","0.011219360837214984","0.05370839852371234","0.05819814812402495","VAE-BFC","","0","4","1"
"vivid-bee-1066","0.8357515960533952","0.09369771207338284","0.06760822151970922","0.35435698983376746","0.1869818039000808","VAE-BFC","","5","8","0"
